001-TIME,002-Charge,003-Charge-absError,004-Charge-relError
0.6185960048345772E-011,0.1802448596250027E-005,0.9275010772434589E-019,0.5145783791965894E-013
0.1237192009669154E-010,0.1802448596250027E-005,0.9275010772434589E-019,0.5145783791965894E-013
0.1855788014503731E-010,0.1802448596250027E-005,0.9275010772434589E-019,0.5145783791965894E-013
0.2474384019338309E-010,0.1802448596250027E-005,0.9275010772434589E-019,0.5145783791965894E-013
0.3092980024172886E-010,0.1802448596250027E-005,0.9275010772434589E-019,0.5145783791965894E-013
0.3711576029007464E-010,0.1802448596250027E-005,0.9275010772434589E-019,0.5145783791965894E-013
0.4330172033842041E-010,0.1802448596250027E-005,0.9275010772434589E-019,0.5145783791965894E-013
0.4948768038676618E-010,0.1802448596250027E-005,0.9275010772434589E-019,0.5145783791965894E-013
0.5567364043511196E-010,0.1802448596250027E-005,0.9275010772434589E-019,0.5145783791965894E-013
0.6185960048345772E-010,0.1802448596250027E-005,0.9275010772434589E-019,0.5145783791965894E-013
0.6804556053180350E-010,0.1802448596250027E-005,0.9275010772434589E-019,0.5145783791965894E-013
0.7423152058014927E-010,0.1802448596250027E-005,0.9275010772434589E-019,0.5145783791965894E-013
0.8041748062849505E-010,0.1802448596250027E-005,0.9275010772434589E-019,0.5145783791965894E-013
0.8660344067684082E-010,0.1802448596250027E-005,0.9275010772434589E-019,0.5145783791965894E-013
0.9278940072518659E-010,0.1802448596250027E-005,0.9275010772434589E-019,0.5145783791965894E-013
0.9897536077353237E-010,0.1802448596250027E-005,0.9275010772434589E-019,0.5145783791965894E-013
0.1000000000000000E-009,0.1802448596250027E-005,0.9275010772434589E-019,0.5145783791965894E-013
